e[0],e[1],de[0],de[1]
17.741935483871202,0.5723204994797086,0.5723204994797086,0.0184619515961196
7.5,-0.3413978494623655,-0.3413978494623655,-0.0304572782980691
-16.93548387096962,-0.8151231356226153,-0.8151231356226153,-0.0170446704634882
6.25,0.6741431451612905,0.6741431451612905,0.0465937682914932
11.363636363639673,0.2970041322314047,0.2970041322314047,-0.0046984787642487
-12.09677419354557,-0.7812253649922745,-0.7812253649922745,-0.0370495104261556
-14.705882352944172,-0.1716151356178145,-0.1716151356178145,0.0177442255116683
7.8125,0.749655330882353,0.749655330882353,0.0316237934945829
18.75,0.390625,0.390625,-0.0111299402573529
0.0,-0.634765625,-0.634765625,-0.03509521484375
0.0,-0.0,-0.0,0.0213623046875
