e[0],e[1],de[0],de[1]
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
-21.774193548386396,-0.7023933402705514,-0.7023933402705514,-0.0226578496861468
-4.03225806451519,0.5463059313215402,0.5463059313215402,0.0394414420462555
0.0,0.1560874089490114,0.1560874089490114,-0.0109093350340706
0.0,-0.0,-0.0,-0.005874257326038
-16.91176470588107,-0.4974048442906574,-0.4974048442906574,-0.0146295542438428
-9.677419354840822,0.2096468139805349,0.2096468139805349,0.0221104955062367
0.0,0.3381893860561914,0.3381893860561914,0.0057508485586843
0.0,-0.0,-0.0,-0.0121943288241415
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
10.483870967742403,0.3381893860561915,0.3381893860561915,0.0109093350340706
15.322580645159178,0.18210197710718,0.18210197710718,-0.0041958980900271
0.0,-0.5202913631633714,-0.5202913631633714,-0.0243362089221577
0.0,-0.0,-0.0,0.0178850156087408
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
-16.93548387096962,-0.54630593132154,-0.54630593132154,-0.0176227719781141
-9.375,0.1858618951612903,0.1858618951612903,0.0212543340677029
0.0,0.341796875,0.341796875,0.0079739478326612
0.0,-0.0,-0.0,-0.01220703125
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
25.0,1.9121004566210047,1.9121004566210047,0.1581688767957298
25.0,1.4840182648401827,1.4840182648401827,0.1195632910072767
25.0,1.0559360730593608,1.0559360730593608,0.0809577052188236
25.0,0.6278538812785388,0.6278538812785388,0.0423521194303705
25.0,0.1997716894977168,0.1997716894977168,0.0037465336419174
3.9473684210533975,-1.10803324099723,-1.10803324099723,-0.0605706031671216
0.0,-1.1268197088465846,-1.1268197088465846,-0.0583011421420053
0.0,-0.9168533034714446,-0.9168533034714446,-0.0461334361194258
0.0,-0.7068868980963047,-0.7068868980963047,-0.0339657300968463
0.0,-0.4969204927211647,-0.4969204927211647,-0.0217980240742668
0.0,-0.2869540873460245,-0.2869540873460245,-0.0096303180516873
0.0,-0.0769876819708845,-0.0769876819708845,0.0025373879708921
-30.645161290325632,-0.9885535900104058,-0.9885535900104058,-0.0291795815438822
2.9411764705873797,0.7980801428730886,0.7980801428730886,0.046426976106416
26.66666666666424,0.7908496732026142,0.7908496732026142,-0.0002410156556824
-10.9375,-1.279296875,-1.279296875,-0.074291752833946
4.03225806451519,0.4576938085327784,0.4576938085327784,0.0569245146569713
32.2580645161288,0.988553590010406,0.988553590010406,0.0204550031888825
-16.129032258068037,-1.6129032258064515,-1.6129032258064515,-0.0881138598905709
-20.96774193548481,-0.2081165452653486,-0.2081165452653486,0.0453156993722936
69.35483870967437,3.017689906347554,3.017689906347554,0.1090933503407069
260.4838709677424,6.243496357960458,6.243496357960458,0.1032190930146689
